folder_name,has_q,has_a,has_qa,has_pdf_q,has_pdf_a,has_audio,files
E001_2025_河南开封市_期末_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E002_2025_河南2月测评_期末_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E003_2026_26潍坊_一模_高三_英语,NO,NO,NO,NO,YES,NO,PDF_A_答案.pdf | PDF_QA_含答案.pdf | meta.txt
E005_2026_河北衡水市1月_期末_高三_英语,YES,NO,NO,NO,NO,YES,AUDIO_听力.mp3 | Q_原卷_1.docx | Q_原卷_2.docx | meta.txt
E006_2025_福建福州市福州第一中学_开学考_高三_英语,YES,NO,YES,YES,NO,NO,PDF_Q_试卷.pdf | QA_解析版.docx | Q_原卷.docx | meta.txt
E007_2025_哈尔滨三中_第一次验收考试_高三_英语,NO,NO,NO,YES,YES,YES,AUDIO_听力.mp3 | PDF_A_答案.pdf | PDF_Q_试卷.pdf | meta.txt
E008_2025_成都七中_二诊模拟_高三_英语,YES,NO,YES,NO,NO,YES,AUDIO_听力.mp3 | QA_解析版.docx | Q_原卷.docx | meta.txt
E009_2026_长沙市一中_月考一_高三_英语,YES,YES,NO,NO,NO,NO,A_答案.docx | Q_原卷.docx | meta.txt
E010_2025_福建厦门双十中学_开学考_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E011_2025_高三8月初_开学考_英语,YES,YES,NO,NO,NO,YES,AUDIO_听力.mp3 | A_答案.docx | Q_原卷.docx | meta.txt
E012_2026_湖北八校_一模_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E014_2026_山东实验中学_第四次诊断考试_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E015_2026_山东实验中学_第四次诊断考试_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E016_2026_江西省景德镇_一模_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E017_2025_江苏无锡市2月_期末_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E018_2026_江苏南通市_一模_高三_英语,YES,NO,YES,YES,NO,YES,AUDIO_听力.mp3 | PDF_Q_试卷_1.pdf | PDF_Q_试卷_2.pdf | QA_解析版.docx | Q_原卷.docx | meta.txt
E019_2026_浙江台州_一模_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E021_2026_湖北部分市州_9月一模_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E022_2026_河北百师联盟_一模_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E023_2026_湘一名校联盟_3月考试_高三_英语,YES,YES,NO,NO,NO,YES,AUDIO_听力.mp3 | A_答案.docx | Q_原卷.docx | meta.txt
E024_2026_来源待核_Word试卷答案_高三_英语,YES,YES,NO,NO,NO,NO,A_答案.docx | Q_原卷.docx | meta.txt
E025_2025_广东四校港澳班_第一联考_高三_英语,YES,NO,YES,NO,NO,YES,AUDIO_听力.mp3 | QA_解析版.docx | Q_原卷.docx | meta.txt
E026_2026_贵百河_8月摸底考_高三_英语,NO,NO,NO,NO,YES,YES,AUDIO_听力.mp3 | PDF_A_答案.pdf | meta.txt
E027_2026_陕西高考二_适应性测试_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E028_2026_山东济南市_一模_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E029_2025_山西太原市学业_期末_高三_英语,YES,NO,YES,NO,NO,YES,AUDIO_听力.mp3 | QA_解析版.docx | Q_原卷.docx | meta.txt
E030_2026_江苏苏锡常镇_教学情况调研一_高三_英语,YES,NO,NO,YES,NO,YES,AUDIO_听力.mp3 | PDF_Q_试卷.pdf | Q_原卷.docx | meta.txt
E031_2025_湖南长沙市雅礼中学_开学考_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E032_2026_来源待核_PDF试题答案_高三_英语,NO,NO,NO,YES,YES,NO,PDF_A_答案.pdf | PDF_Q_试卷.pdf | meta.txt
E033_2026_湖北武汉_三月调研_高三_英语,YES,NO,YES,NO,NO,YES,AUDIO_听力.mp3 | QA_解析版.docx | Q_原卷.docx | meta.txt
E034_2025_山东枣庄市薛城区_期中_高二_英语,NO,NO,NO,YES,YES,NO,PDF_A_答案.pdf | PDF_Q_试卷.pdf | meta.txt
E035_2026_河北承德_上学期期末_高三_英语,YES,YES,NO,NO,NO,NO,A_答案.docx | Q_原卷_1.docx | Q_原卷_2.docx | meta.txt
E036_2025_湖南长沙市湖南师范大学附属中学8月_月考_高三_英语,YES,NO,NO,NO,YES,NO,PDF_A_答案.pdf | Q_原卷.docx | meta.txt
E037_2026_陕西师大附中_收心考试_高三_英语,NO,YES,NO,YES,NO,NO,A_答案.docx | PDF_Q_试卷_1.pdf | PDF_Q_试卷_2.pdf | meta.txt
E038_2025_江苏苏州_期末_高三_英语,YES,YES,YES,NO,NO,YES,AUDIO_听力.mp3 | A_答案.docx | QA_解析版.docx | Q_原卷_1.docx | Q_原卷_2.docx | meta.txt
E039_2026_广东深圳市第一次_调研_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E040_2025_山东青岛_学业水平检测期末_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E041_2025_山东聊城市11月_期中_高一_英语,YES,YES,NO,NO,NO,NO,A_答案.docx | Q_原卷.docx | meta.txt
E042_2026_浙江9+1联盟_一模_高三_英语,YES,YES,NO,NO,NO,YES,AUDIO_听力.mp3 | A_答案.docx | Q_原卷.docx | meta.txt
E043_2026_浙江宁波市宁波五地_一模_高三_英语,YES,NO,YES,NO,NO,YES,AUDIO_听力.mp3 | QA_解析版.docx | Q_原卷.docx | meta.txt
E044_2025_湖南长沙市长郡中学_开学考_高三_英语,YES,YES,NO,NO,NO,NO,A_答案.docx | Q_原卷.docx | meta.txt
E045_2026_浙江温州市温州卷_一模_高三_英语,YES,NO,NO,NO,YES,YES,AUDIO_听力.mp4 | PDF_A_答案.pdf | Q_原卷.docx | meta.txt
E046_2025_湖北襄阳市第五中学8月二_月考_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E047_2026_湖南长沙市天心区长沙市长郡中学3月预测_模拟考试_高三_英语,YES,NO,NO,YES,YES,YES,AUDIO_听力.mp3 | PDF_A_答案.pdf | PDF_Q_试卷.pdf | Q_原卷.docx | meta.txt
E048_2026_重庆南开中学8月_开学考_高三_英语,YES,NO,NO,NO,YES,YES,AUDIO_听力.mp3 | PDF_A_答案.pdf | Q_原卷.docx | meta.txt
E049_2026_湖北黄冈中学_9月平行班同步考_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷_1.docx | Q_原卷_2.docx | meta.txt
E050_2025_山东泰安市_期中_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E051_2026_南京市外国语学校高中毕业班7月测评_摸底考_高三_英语,YES,NO,YES,NO,NO,YES,AUDIO_听力.mp3 | QA_解析版.docx | Q_原卷.docx | meta.txt
E052_2026_江苏徐州_1月教学质量评估_高三_英语,YES,YES,NO,NO,NO,YES,AUDIO_听力.mp3 | A_答案_1.docx | A_答案_2.docx | Q_原卷.docx | meta.txt
E053_2025_江西师范大学附属中学_开学考_高三_英语,YES,NO,YES,NO,NO,NO,QA_解析版.docx | Q_原卷.docx | meta.txt
E054_2025_南京盐城_期末_高三_英语,YES,YES,NO,NO,NO,YES,AUDIO_听力.mp3 | A_答案.docx | Q_原卷.docx | meta.txt
